序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
81,"
                                                                                                    【空调这样吹才最省电！原来你一直花冤枉钱】夏天耗电多，很多人都会有这样的习惯：外出买点东西必定关掉空调，或将风量设定到最弱这些看似省电的做法，其实反而更耗电！空调省电十大窍门，必须get√小调查：你家空调一般开几度？ ​​​​                                            ", 2015-7-27 17:23,181,24,62,微博 weibo.com,Ct3ZAyWea
82,"
                                                                                                    群星璀璨[飞个吻]约起来！去狂欢！                                            ", 2015-7-27 16:38,7,1,5,微博 weibo.com,Ct3HhBokR
83,"
                                                                                                    【夏日】38度高温，菜场门口，老爷爷的鞋摊儿。从我到这城市定居，他似乎就一直在这个地方谋生，印象里他一直乐呵呵的。其实，我们的城市再怎么一尘不染，没有了他们和他们的生计，总觉得缺少了点什么。@南京电视台周涛 ​​​​                                            ", 2015-7-27 15:36,23,15,103,iPhone 6,Ct3iiCBYO
84,"
                                                                                                    已经黄色预警了有在室外的么？来说说你现在的心情______                                            ", 2015-7-27 15:09,21,26,5,微博 weibo.com,Ct37l1sHu
85,"
                                                                                                    【南京今起严查不礼让斑马线！一张图告诉你怎样才算礼让！】南京交警部门：从今天开始将严查不礼让斑马线的机动车，不主动让行将一律面临罚款50元记3分的处罚。戳图↓↓↓一张图告诉你怎样才算礼让！都来做好司机！ ​​​​                                            ", 2015-7-27 13:40,292,138,110,微博 weibo.com,Ct2x1l2CS
86,"
                                                                                                    今天中午，食堂的人是不是比平时多 ​​​​                                            ", 2015-7-27 12:06,6,49,33,iPhone 6,Ct1V7ATBU
87,"
                                                                                                    【宁安专线明天送电，进入通车倒计时】据上海铁路消息:宁安客专（南京至安庆）计划于7月28日9时起全线送电，进行联调联试！南京南、江宁西、马鞍山东、当涂东、芜湖、弋江、繁昌西、铜陵、池州、安庆共10站。预计今年年底，个把小时，南京人就可直达安庆听黄梅戏吃皖南菜啦看攻略↓↓ ​​​​                                            ", 2015-7-27 11:50,193,138,53,微博 weibo.com,Ct1OnaKOI
88,"
                                                                                                    小时候怕过这家伙的，过来暴露下年龄吧 ​​​​                                            ", 2015-7-27 10:38,53,166,51,iPhone 6,Ct1lwyFJS
89,"
                                                                                                                                                ", 2015-7-27 09:57,5,5,7,百度浏览器,Ct14Prqpx
90,"
                                                                                                    南京颐和路                                            ", 2015-7-27 08:07,90,9,955,iPhone 6,Ct0lZbfkB
91,"
                                                                                                                                                ", 2015-7-27 07:13,17,7,4,iPhone 6,Ct00cb0S3
92,"
                                                                                                    宵夜时间！                                            ", 2015-7-26 21:26,86,18,151,iPhone 6,CsW9XqzFA
93,"
                                                                                                    据央视记者吴睿：一天结束，“书店”卖书300多本，书价和钱款基本吻合。为诚信点！                                            ", 2015-7-26 20:17,38,29,134,iPhone 6,CsVHFnSPx
94,"
                                                                                                    #恩正南京人#祝福小雨                                            ", 2015-7-26 18:22,14,4,38,iPhone 6,CsUXkiSJb
