ID,微博内容
33,加油//@深圳市流浪狗驿站: #深圳山体滑坡# 搜救犬在行动！每一次灾难的现场总有你们的身影，加油光明！加油救援队！加油！搜救犬！
34,【光明新区山体滑坡灾害救援处置第三次通报】
35,【山体滑坡时如何自救？】1、遭遇山体滑坡时，首先要沉着冷静，不要慌乱，采取必要措施迅速撤离到安全地点。2、遇到山体崩滑时要朝垂直于滚石前进的方向跑，忌朝着滑坡方面跑。3、千万不要将避灾场地选择在滑坡的上坡或下坡，应选择在易滑坡两侧边界外围。4、滑坡停止后，不要立刻回家检查情况。 ????????
36,【[推荐]史上最全最实用的防灾常识+急救手册，你必须掌握！】地震、火灾、洪水、台风、泥石流、山体滑坡……当遇到这些自然灾害，你真的知道如何正确躲避吗？烧烫伤、骨折、大出血、溺水、心跳骤停……这些突发意外，到底该怎么处理？一起学习防灾常识↓↓↓平时留心一眼，灾时救你一命！@人民日报 ????????
37,【习近平和李克强对深圳山体滑坡救援作指示】
38,【光明新区召开山体滑坡新闻发布会】
39,【光明新区山体滑坡14名伤员入院救治】@健康深圳：今天上午光明新区发生山体滑坡房屋倒塌，接报后“120”立即调派光明新区中心医院、光明新区人民医院等多家医疗机构出诊。截至17时15分，共出车16台次，入院治疗共14人，均是轻伤，光明新区中心医院收治9人，光明新区人民医院收治5人，均生命体征平稳。
40,现场救援指挥部就光明新区山体滑坡事件召开新闻发布会，通报相关情况。
41,光明红坳山体滑坡 配合救援紧急停电，请受影响的小伙伴多多理解!
42,#安全贴士#【夺命的山体滑坡 转发扩散！】#浙江丽水山体滑坡#截止目前，遇难人数已升至21人，抢险救援工作仍在进行…近年来，山体滑坡事故频出，仅2015年，先后有贵州、云南、广西、重庆、湖北等地发生规模不等的山体滑坡。山体滑坡如何提前预防，又如何逃生？好好看看↓↓via安徽消防 ????????
43,【浙江丽水山体滑坡 救援官兵席地睡高速隧道】13日22时50分许，浙江丽水莲都区雅溪镇里东村发生山体滑坡，为争取救援时间，武警丽水支队官兵们徒手挖开废墟，轮休下来的几十名官兵因超负荷运作，14日晚直接在事故现场附近的高速公路隧道里席地而睡。O浙江丽水山体滑坡现场：救援武警官兵席地睡高... 你们辛苦了！转发致敬！ ????????
44,坚持住！//@央视新闻: #浙江丽水山体滑坡#【废墟下仍有生命迹象】①7人被救出后4人不治身亡，初步统计仍有20余人失踪 ②目前废墟下仍有生命迹象，有的比较微弱，救援人员正在加紧挖掘；③塌方体约有30万立方；④滑坡体阻塞河道，部分房屋被淹。
45,//@晶报:#光明山体滑坡#【不眠的救援故事】图四：凌晨4点，马书记一行，冒雨离开指挥部；图五：凌晨5点，蓝天救援小分队4男2女整装待发；图六：凌晨5点半，现场救援仍在持续，消防车、挖掘机不断驰援；图七：凌晨6点，指挥部的人员已几近熬了一个通宵。
46,#深圳山体滑坡# 【请大家注意避让管控路段】因抢险救援需要，光明新区长凤路目前实行交通管制 。同时，交警将对东长路进入车辆进行管控 ，除应急救援车辆外，其他私家车辆一律禁止驶入。 ????????
47,【27-29日将有大范围暴雨局地大暴雨】未来几天我省以阴冷潮湿多雨雾天气为主。27日，粤西、珠江三角洲和粤北市县有大雨到暴雨，粤东市县有小雨到中雨。28日，粤西、珠江三角洲和韶关、清远市县有暴雨局部大暴雨，其余市县有大雨局部暴雨。请注意防御强降水，山洪、山体滑坡、泥石流等灾害。@广东天气 ????????
48,#交警通告#【 °关于进一步加强光明新区山体滑坡救援交通管理... 】目前， 光明新区长圳凤凰社区山体滑坡救援工作进入第二天关键期，参与救援的各类车辆较多，为了确保救援通道的畅通，抢险救灾工作顺利进行，深圳交警将进一步加强交通管理，具体采取五条措施如下。 ????????
49,光明新区山体滑坡灾害救援处置第三次通报
50,【失联59人，光阴新区山体滑坡最新情况发布！】@深圳特区报：经初步核查，此次灾害共造成33栋（间）建筑物被掩埋或不同程度损坏。其中，包括厂房14栋，办公楼2栋，饭堂1间，宿舍楼3栋，其他低矮建筑物13间。截至20日晚22时，失联人员59人，其中男性36人，女性23人。
51,#突发续报#光明新区柳溪工业园山体滑坡现场周边道路 @深圳交警 已实施交通管制，提醒各位车友服从现场交警指挥，给救援、抢险的车辆让出通道。 ????????
52,【光明新区山体滑坡 将召开新闻发布会】据现场救援指挥部消息：将在17：15召开新闻发布会，敬请关注！
53,#突发#光明新区柳溪工业园山体滑坡现场周边长凤路 @深圳交警 已实施交通管制，提醒各位车友可绕行光侨路通行。 ????????
54,【光明新区??1220滑坡事故 第十次新闻发布会全文实录】 国务院深圳光明新区“12·20”滑坡灾害调查组经调查认定，此次滑坡灾害是一起受纳场渣土堆填体的滑动，不是山体滑坡，不属于自然地质灾害，是一起生产安全事故。 °光明新区??1220滑坡事故 第十次新闻发布会全文... ????????
55,【光明新区12·20滑坡由受纳场渣土堆填体滑动引起】@国土之声 ：国务院深圳光明新区“12·20”滑坡灾害调查组经调查认定，此次滑坡灾害由受纳场渣土堆填体滑动引起，不是山体滑坡，不属于自然地质灾害，是一起生产安全事故。 ????????
56,【全市已重点排查隐患点738处】深圳滑坡事件发生后，深圳市规划国土委第一时间部署开展了全市的地质灾害应急处置工作，组织专业巡查队伍全面开展各辖区安全大排查。全市已重点排查地质灾害和危险边坡隐患点738处，废弃石场24处。O全市已重点排查隐患点738处柳溪工业园山体滑坡# ????????
57,光明山体滑坡 第一名被困幸存者救出来了！ ????????
