序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
29,"
                                                                                                    【礼佛烧香注意消防安全】五一期间，许多人选择到寺庙烧香礼佛、祈福求安。请遵守寺庙规定，注意防火安全，集中烧香点烛，别让自己一时的疏忽大意给古刹名寺和他人的安全带来损害！                                            ", 2014-4-29 11:31,89,3,53,360安全浏览器,B1X7N3MCa
30,"
                                                                                                    #燃气安全#4月28日上午，广州海珠区前进路一居民楼四楼的独居老人煲汤时离开引发大火。@中国消防 提示，用燃气时要有人看管，人走火灭；出门或睡觉前，检查燃气设备是否关好；燃气灶旁边不堆放可燃物；定期清洗油烟机；不让儿童烧煮食物，不让幼儿在厨房玩耍；要经常检查灶具是否安全。                                            ", 2014-4-29 09:33,29,4,7,政府版微博,B1WlHg0DA
31,"
                                                                                                    亲们，使用燃气，请注意安全！请从燃气灶选用、燃气接入、气管检查、日常保养等多方面予以重视，确保我们的厨房、我们的家平安和谐！                                            ", 2014-4-29 09:16,26,3,3,360安全浏览器,B1WeXnNxy
32,"
                                                                                                    【货车高速起火 车上装大量棉质易燃品】4月27日下午，位于大广高速2884公里处一辆挂车在行驶过程中后轮起火，司机将车停在应急车道，用灭火器进行扑救未果，车上装载的大量棉质易燃物品过火后，导致整车深陷火海。吉安县和吉州区消防官兵经过联合处置，4个多小时后将大火扑灭。 ​​​​                                            ", 2014-4-29 07:35,22,7,9,微博 weibo.com,B1VA6asma
33,"
                                                                                                    【出游入住酒店注意消防安全】出游住酒店，遇到火灾该如何自救？1、不慌乱，不轻易打开房门观望。通过触摸感觉房门温度判断火情。2、发生火灾后利用身边消防器材逃生或扑救。3、合理利用酒店的房间避难。如果不是自己的房间起火，一般来讲自己的房间就是最好的避难地。4、楼层较高不要盲目跳楼。 ​​​​                                            ", 2014-4-29 07:26,108,5,7,微博 weibo.com,B1VwiDk3s
34,"
                                                                                                    【我做消防小老师】28日下午，新余消防和铁路小学2000余名师生共同开展了“学在校园 做在家园”安全教育活动，通过学生将消防知识带进家庭。为做一名合格的小老师，学生们认真学习防火、灭火、逃生等消防知识，并纷纷表示要把消防知识教给父母。                                            ", 2014-4-29 07:23,11,3,1,微博搜索,B1Vv2Cfaj
35,"
                                                                                                    【戒指咬住手 消防急救援】近日，一少年在家因“爱臭美”把戒指带到手上，多次使用肥皂水、洗洁精等润滑剂试图将戒指取下，可手指愈发肿胀无法取下。来到医院寻求救助无果后，治好到消防队寻求救助。在消防蜀黍的巧手作业下，困扰少年的戒指被成功取下。骚年，“臭美”也要量力而为哦~ ​​​​                                            ", 2014-4-29 07:20,19,6,5,微博 weibo.com,B1VtFwlHy
36,"
                                                                                                    【民房凌晨起火帅哥攀高救美】4月27日凌晨，武汉汉口南京路泰安里一栋2层民房失火，一名女子被困。一名男青年攀上2楼窗口，将其救下，随后悄然离开。社区工作人员告诉记者，事发后他们已将受灾居民全部转移至周围的旅馆居住，他们也在寻找柯女士口中这位无名英雄。​ ​​​​                                            ", 2014-4-29 06:06,19,3,7,政务助手,B1UZD5HDj
37,"
                                                                                                    【美国家长如何教导孩子“不玩火”】孩子对火的兴趣，就像他们对电视、ipad、手机和玩具的兴趣一样，在3岁以下就会萌生。面对孩子的好奇心，我们该怎么办？第一次玩火，怎么办？TA的小伙伴拉TA一起玩火，该怎么办？请点开@走近中国消防 示意图，看看美国家长是怎么应对的。 ​​​​                                            ", 2014-4-29 06:04,31,3,5,政务助手,B1UYP9Ysq
38,"
                                                                                                    【易燃外墙保温材料的3大火灾威胁】1、聚氨酯泡沫、聚苯乙烯泡沫等外墙保温材料属易燃材料，极易被引燃。2、材料燃烧速度快，热释放量大、蔓延迅速，短时间易形成建筑内外连通、大面积立体火灾，扑救难度大。3、燃烧产物毒性大，对人身安全危害大。 ​​​​                                            ", 2014-4-29 05:19,74,4,赞,人民微管家,B1UGJpMFG
