序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
47,"
                                                                                                    #说震事儿# ：《喜迎党的十九大·砥砺奋进的五年系列--四川局篇》， #回首这五年#四川局不忘初心，踏实工作，欢迎大家戳图阅览@中国地震台网速报  @中国国际救援队  @震长  @四川发布  @四川日报 °喜迎党的十九大·砥砺奋进的五年系列--四川局篇 ​​​​                                            ", 9月29日 17:51,9,评论,78,微博 weibo.com,Fo4z39AFG
48,"
                                                                                                    #地震快讯#中国地震台网正式测定：09月29日15时57分在青海海西州唐古拉地区（北纬33.86度，东经90.50度）发生3.4级地震，震源深度9千米。（ @震长 ） ​​​​                                            ", 9月29日 16:13,转发,5,12,国家地震台网,Fo3VgEqin
49,"
                                                                                                                                                ", 9月29日 13:48,转发,3,2914,Android,Fo2Y5wMra
50,"
                                                                                                    转发微博                                            ", 9月29日 12:35,转发,评论,121,Android,Fo2uGBMyv
51,"
                                                                                                    转发微博                                            ", 9月29日 12:22,转发,2,105,Android,Fo2phACnj
52,"
                                                                                                    转评赞，送不送呀                                            ", 9月29日 11:00,4,8,66106,Android,Fo1S5d4GA
53,"
                                                                                                    终于不用去西安绕一下了                                            ", 9月29日 10:27,2,2,626,Android,Fo1EK5kEH
54,"
                                                                                                    热烈欢迎，中国局新招录公务员入职培训参观四川省地震局。欢迎各位新朋友加入防震减灾事业，为地震系统注入了新鲜血液，我们的工作会做得越来越好@中国地震台网速报   @中国国际救援队   @震长 ​​​​                                            ", 9月29日 10:14,2,评论,10,Android,Fo1zk5anN
55,"
                                                                                                    据@四川发布 消息，26日，成都市公共资源交易中心网站发布公告称，将于10月19日公开拍卖位于天府新区秦皇寺板块的299亩商住用地。根据出让条件，地块临福州路一侧建筑高度拟定为677米(以空军及民航批复为准)。这一高度将超过上海中心大厦，成为中国第一高楼，也将成为仅次于迪拜哈利法塔的世界第二高楼 ​​​​...展开全文c                                            ", 9月29日 09:36,1,36,7,专业版微博,Fo1jS805L
56,"
                                                                                                                                                ", 9月29日 08:54,4,1,5613,360安全浏览器,Fo12QigDj
57,"
                                                                                                    失去的东西其实也从未真正属于我，所以不必追悔也不必惋惜。各位，早上好！ ​​​​                                            ", 9月29日 08:39,1,24,10,专业版微博,Fo0WNE02S
58,"
                                                                                                    #不务震业# 第一次看见洗完澡澡的狗狗是晒干的  L四川省地震局的微博视频 ​​​​                                            ", 9月28日 17:28,4,25,23,秒拍网页版,FnUZbFzMu
59,"
                                                                                                    墨西哥首都附近的波波卡特佩特火山27日剧烈喷发，当天喷发了两次，产生了大量的火山灰与岩浆。波波卡特佩特火山在当地原住民纳瓦特尔语中的意思是“冒烟的山峰”，是世界上最危险的火山之一，自1994年以来活动十分频繁，近年来曾多次剧烈喷发。 ​​​​                                            ", 9月28日 16:50,转发,3,5,专业版微博,FnUJOqypj
60,"
                                                                                                    在今日举行的国防部例行记者会上，国防部发言人吴谦表示，歼20已经正式列装部队。 ​​​​ ​​​​                                            ", 9月28日 16:38,2,评论,16,专业版微博,FnUEFw72o
61,"
                                                                                                                                                ", 9月28日 08:33,1,1,260,360安全浏览器,FnRu0C5jl
62,"
                                                                                                    很多时候，你得不到你想要的，但最终，你拥有的一定比当初渴望的要好得多。各位，早上好！ ​​​​                                            ", 9月28日 08:31,2,6,17,Android,FnRsX5Lw7
63,"
                                                                                                     ​​​​                                            ", 9月27日 23:42,1,25,30,Android,FnO0y6HwV
64,"
                                                                                                    #说震事儿# ：《《四川地震》2017年3期》已发布，欢迎大家查阅，也欢迎广大感兴趣的网友积极投稿哟  °《四川地震》2017年3期 ​​​​                                            ", 9月27日 18:25,1,15,16,微博 weibo.com,FnLVwaGfo
65,"
                                                                                                    #还看今朝#【四川】“天府之国”的惬意，熊猫的呆萌，吃货的天堂…这是四川，但四川远不止于此。这五年，四川人民战胜了两次大地震，478万人口脱离贫困…省公安厅机场公安民警赵静婉、四川公安消防搜救犬训导员赵琦与其他川人一道，讲述四川精气神，展现川人乐观、泼辣、实干性格。@四川公 ​​​​...展开全文c                                            ", 9月27日 17:44,4,4,19,秒拍网页版,FnLEWaesV
66,"
                                                                                                                                                ", 9月27日 16:13,转发,评论,197,360安全浏览器,FnL407zdv
67,"
                                                                                                    【埃及金字塔建造之谜被揭开！数吨的巨石用船运】据英媒报道，考古学家近日发现了一份监工编写的古本手卷、一艘仪式船和一个航道网，是唯一一份记载金字塔建造过程的原始资料。据记载，曾有数千名劳工用木板和绳索建造的船只沿着尼罗河运送17万吨巨石。每次会有2.5吨的巨石通过特殊 ​​​​...展开全文c                                            ", 9月27日 16:12,1,7,11,秒拍网页版,FnL3yDBtk
68,"
                                                                                                                                                ", 9月27日 15:36,转发,评论,9,360安全浏览器,FnKP0bHFT
69,"
                                                                                                    之前出差在中国科学技术馆观看的球幕电影觉得很巴适，在网上找到了一点片段，分享下 L四川省地震局的微博视频 ​​​​                                            ", 9月27日 11:30,转发,4,6,秒拍网页版,FnJd96J34
70,"
                                                                                                    转发微博                                            ", 9月26日 19:16,转发,评论,150,Android,FnCPI5Wwq
71,"
                                                                                                                                                ", 9月26日 16:35,转发,评论,2,Android,FnBMsftyD
72,"
                                                                                                    支持成马态度                                            ", 9月26日 16:21,转发,评论,30,Android,FnBH1CPKi
73,"
                                                                                                                                                ", 9月26日 13:43,15,6,342205,Android,FnAESjmOB
74,"
                                                                                                    #不务震业# 刚刚放了四只螃蟹在锅里，有三只螃蟹对另外一只说：你去把火关了，洗澡水有点烫了。那个螃蟹说：好嘞！️。    有图有真相 L四川省地震局的微博视频 ​​​​                                            ", 9月26日 09:53,6,19,19,Android,Fnz9mbyah
75,"
                                                                                                    十一就待家里好啦                                            ", 9月26日 09:16,1,18,3,360安全浏览器,FnyUnpFmv
76,"
                                                                                                    但行好事，莫问前程。愿努力，成就更好的你！各位，早上好！ ​​​​                                            ", 9月26日 08:12,转发,1,18,Android,FnyugpZmG
77,"
                                                                                                    微信启动页已经更新了，感谢中科院上海技术物理研究所风四载荷团队的科学家们，15年的坚持与付出 ​​​​                                            ", 9月25日 17:43,2,36,33,Android,FnsNFD2UK
