序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
13,"
                                                                                                    #中秋赏月#【周知！今年中秋十五的月亮十七圆】据广州市五羊天象馆28日预测，今年中秋月十五的月亮十七圆，月亮最圆时出现在O10月6日2时40分 。那么问题来了，「月圆」和「农历」之间到底有什么联系？这就要从天文原理，以及「农历」的历史说起了，戳视频↓ ????????...展开全文c                                            ", 9月30日 09:28,12,4,23,Weico.Android,FoaH9tlOW,0
14,"
                                                                                                    #国庆旅游天气# 国庆长假第一股冷空气将至~~北方大风降温，长江流域有暴雨自驾游的亲，要特别注意~~有些省份国庆雨水真的有些多啊 ????????                                            ", 9月30日 09:00,13,18,21,微博 weibo.com,FoavFmuaD,0
15,"
                                                                                                    #国庆旅游天气#【故宫北城墙对公众开放 能俯瞰整个紫禁城 】记者从故宫博物院了解到，为了迎接即将到来的国庆假期，故宫又有“新动作”。继2015年故宫东南城墙和角楼面向公众开放之后，故宫北城墙今起也面向游客开放了。修葺参观步道、开放城墙，供游客登高望远，是故宫博物院提升服务质量的新举 ????????...展开全文c                                            ", 9月30日 08:50,6,10,41,微博 weibo.com,FoarHun4D,0
16,"
                                                                                                    #国庆旅游天气# 【浓缩版国庆全国天气预报】 国庆天气预报实在有点长啊，现在小编来给大家浓缩一下。1、1-2日陕西、四川、重庆、江苏、上海、安徽等8省市将出现大到暴雨，局地大暴雨；2、北方将遭遇两股冷空气袭击，东北降温有点明显；3、6日至8日，受另一股冷空气影响，北方地区还将有一次降雨、降 ????????...展开全文c                                            ", 9月30日 08:27,54,35,43,微博 weibo.com,FoaiydjzC,0
17,"
                                                                                                    【天气接龙】我在北京，13℃，晴天有点凉。[落叶] #国庆旅游天气# ????????                                            ", 9月30日 07:41,5,61,41,Weico.Android,Fo9ZL1VP7,0
18,"
                                                                                                    #随手拍秋景#【国庆+中秋的超长版假期，还不出去拍点啥？】美好的长假马上就要开始了，各位亲是不是蠢蠢欲动了！象博士也想要分享尼萌在路上的喜悦和美好。能不能随手拍一些美照@一下我们呀！我们将从中挑选出十张最美的图片给予上墙哦，祝大家节日愉快，么么哒~ ????????                                            ", 9月30日 07:30,1,6,25,微博 weibo.com,Fo9V8a7al,
19,"
                                                                                                    #象博士说早安# 年轻人虽不知深浅，但也无惧黑暗。图片：颜家蔚摄于昨日 ????????                                            ", 9月30日 07:00,14,16,64,微博 weibo.com,Fo9IXcaJQ,0
20,"
                                                                                                    买东西找1块钱，你希望是硬币还是纸币？ ????????#象博士说晚安# ????????                                            ", 9月29日 23:45,1,55,28,微博 weibo.com,Fo6So3Z0K,0
21,"
                                                                                                    我发表了新文章： °中秋热门景区赏月指数出炉 ????????                                            ", 9月29日 21:05,9,6,16,粉丝服务平台,Fo5PK0xmw,0
22,"
                                                                                                    天安门广场“花果篮”流光溢彩  #国庆旅游天气# ????????                                            ", 9月29日 20:42,7,16,72,微博 weibo.com,Fo5G6wWcK,0
23,"
                                                                                                    #国庆旅游天气#【飕飕凉！冷空气将影响我国北方 】受一股较强冷空气影响，9月29日夜间至10月2日，我国北方地区将出现明显降温和大风天气。新疆北部、甘肃北部、内蒙古大部、华北中北部、东北地区大部等地的平均气温或最低气温将下降4～8℃，部分地区降温幅度可达10℃以上。北方大部地区伴有4～6 ????????...展开全文c                                            ", 9月29日 18:24,52,52,47,Weico.Android,Fo4Mm83BQ,0
24,"
                                                                                                    #秋收秋种#【中秋将至 稻米飘香】中秋佳节将至，河北“大米之乡”隆化县进入水稻收获期，当地农民和企业忙着收割水稻，加工新米供应市场。隆化县因地制宜引进推广水稻旱育稀植技术，发展优质大米产业，当地出产的“隆化大米”被认定为国家地理标志保护产品。新华社发（王立群 摄） ????????                                            ", 9月29日 17:42,4,3,19,微博 weibo.com,Fo4v2CCQJ,0
25,"
                                                                                                     #国庆旅游天气#【国庆假日天气预报】中央气象台预计：2017年国庆节假日期间，全国大部地区气温适宜，无台风登陆我国，气象条件总体较好，适宜外出活动。但假日前期，四川东北部、重庆北部、陕西南部等地有较强降雨。详情：O刚刚，国庆假日天气预报发布！全国大部天气晴... ????????                                            ", 9月29日 17:12,4,1,15,Weico.Android,Fo4iXedPo,0
26,"
                                                                                                    #秋收秋种#【北大仓”进入金色收获季 】有着“北大仓”美誉的黑龙江省近日拉开秋收大幕，各粮食产区陆续开始收割水稻，黑土地上铺展开金色的画卷。 新华社记者王建威 摄 ????????                                            ", 9月29日 16:07,9,4,35,微博 weibo.com,Fo3SvgCEI,0
27,"
                                                                                                    #大国重器风云四号# 【英国《每日邮报》网关注“风云四号”交付和微信页面“变脸”致敬 】9月25日，我国新一代静止轨道气象卫星“风云四号”A星正式交付使用。为了庆祝“风云四号”卫星取得的巨大突破，微信官方宣布，微信启动页面在9月25日至28日期间改用一张新的由“风云四号”A星拍摄的地球卫 ????????...展开全文c                                            ", 9月29日 15:41,3,5,7,微博 weibo.com,Fo3I0A4Xz,0
28,"
                                                                                                    #国庆旅游天气#【3分钟视频带你看尽“长安花”】25日上午，天安门广场2017国庆“祝福祖国”花篮安装完毕，正式亮相。此外，长安街沿线14处立体花坛，部分已进入最后安装、调整阶段。先睹为快，3分钟看尽“长安花”↓L央视新闻的秒拍视频 ?????? ????????                                            ", 9月29日 15:14,45,16,30,Weico.Android,Fo3x8ANjj,0
29,"
                                                                                                    呼伦贝尔霜冻天气 霜染秋叶红  #秋赏红叶# ????????                                            ", 9月29日 14:31,4,7,40,Weico.Android,Fo3fywk55,0
30,"
                                                                                                    #大国重器风云四号# 【新加坡《联合早报》关注“风云四号”交付和微信页面“变脸”致敬 】9月25日，我国新一代静止轨道气象卫星“风云四号”A星正式交付使用。为了庆祝“风云四号”卫星取得的巨大突破，微信官方宣布，微信启动页面在9月25日至28日期间改用一张新的由“风云四号”A星拍摄的地球卫 ????????...展开全文c                                            ", 9月29日 14:14,3,3,7,微博 weibo.com,Fo38CfMz0,0
31,"
                                                                                                    #国庆旅游天气# 【国庆假日全国大部气象条件较好 适宜出游】2017年国庆节假日期间，全国大部地区气温适宜，无台风登陆我国，气象条件总体较好，适宜外出活动。但假日前期，四川东北部、重庆北部、陕西南部等地有较强降雨。具体预报及影响如下：北方地区有两次冷空气活动过程。10月1日至2日，受较强 ????????...展开全文c                                            ", 9月29日 13:48,9,4,7,微博 weibo.com,Fo2Y3srze,0
32,"
                                                                                                    根据中央气象台预报，国庆期间没有台风登陆我国哟                                            ", 9月29日 13:46,3,12,34,微博 weibo.com,Fo2XBrkQ0,0
33,"
                                                                                                    #国庆旅游天气#山西五台山秋意正浓~~ ????????                                            ", 9月29日 12:11,9,5,47,微博 weibo.com,Fo2kH0MRD,0
34,"
                                                                                                    #大国重器风云四号# 【美国“临界点”网关注“风云四号”交付和微信页面“变脸”致敬 】9月25日，我国新一代静止轨道气象卫星“风云四号”A星正式交付使用。为了庆祝“风云四号”卫星取得的巨大突破，微信官方宣布，微信启动页面在9月25日至28日期间改用一张新的由“风云四号”A星拍摄的地球卫星 ????????...展开全文c                                            ", 9月29日 11:58,3,6,7,微博 weibo.com,Fo2fpBrge,0
35,"
                                                                                                    #大国重器风云四号# 【美国石英财经网关注“风云四号”交付和微信页面“变脸”致敬 】9月25日，我国新一代静止轨道气象卫星“风云四号”A星正式交付使用。为了庆祝“风云四号”卫星取得的巨大突破，微信官方宣布，微信启动页面在9月25日至28日期间改用一张新的由“风云四号”A星拍摄的地球卫星图 ????????...展开全文c                                            ", 9月29日 10:58,3,8,10,微博 weibo.com,Fo1R3CK2F,0
36,"
                                                                                                    大闸蟹的正确吃法！吃货的自我修养：如何完美掏空一只大闸蟹？戳进来你就知道啦~ @罐头视频 L罐头视频的秒拍视频 小编：这个中秋，好吃的有点多啊！????#秋高气爽# ????????                                            ", 9月29日 10:40,37,17,33,Weico.Android,Fo1JWbCGo,0
37,"
                                                                                                    #国庆旅游天气# 尼萌觉得国庆期间会有台风生成吗？ ????????                                            ", 9月29日 09:40,10,45,34,微博 weibo.com,Fo1lp1PtR,0
38,"
                                                                                                    #气象中国#【刘雅鸣率团出席中俄气象科技合作第十次正式会议】当地时间9月27日至28日，中俄气象科技合作第十次正式会议在俄罗斯联邦自然资源与生态部水文气象与环境监测局举行，中国气象局局长刘雅鸣应邀率中国气象代表团出席会议。中国驻俄罗斯大使馆公使衔科技参赞郑世民和科技处三等秘书陈原林出席 ????????...展开全文c                                            ", 9月29日 09:20,4,评论,8,微博 weibo.com,Fo1dkpFnx,0
39,"
                                                                                                    我国自古有赏月的习俗，今年国庆假期刚好遇上中秋节，可以在长假中去异乡赏月，体验不同地方的中秋风情。我国哪些景区更易公作美看到明月高悬？据中国天气网推出的中秋热门景区赏月指数显示，山东泰山和崂山等热门景区中秋时节出现明月高悬的概率较大，是中秋赏月的绝佳去处。#中秋赏月天气#????????????...展开全文c                                            ", 9月29日 09:05,31,12,36,微博 weibo.com,Fo17i53wJ,0
40,"
                                                                                                    #秋高气爽# 早八时的全国气温实况排名@ 广东 ！终于，全国范围内高于35℃的范围不见踪影。 ????????                                            ", 9月29日 08:59,6,25,24,微博 weibo.com,Fo14KtHUZ,0
41,"
                                                                                                    #国庆旅游天气# 国庆节要自驾出行的亲，注意下方图中的暴雨区域，最好避过这几天。 ????????                                            ", 9月29日 08:40,11,9,14,微博 weibo.com,Fo0X31JMf,0
42,"
                                                                                                    #秋高气爽#【冷空气活动频繁 今早感觉冷不？ 】监测显示，北方多地的早晨的最低气温刷新了今年下半年以来的新低，而贵州东部、湖南中部、江西中北部、浙江中南部等地最高气温降幅普遍达到8-12℃，降温非常剧烈，伴随着雨水，体感一下子从闷热转为湿冷。不过，冷空气的影响十分短暂，今天起 ????????...展开全文c                                            ", 9月29日 08:26,4,21,8,微博 weibo.com,Fo0RurDMd,0
43,"
                                                                                                    #国庆旅游天气# 【国庆旅游天气前瞻】想必大家都计划好国庆去哪儿了吧？小象象在这里祝愿大家想去的地方天气特别好，心情特别美，玩得特开心。我们对一些热门的旅游城市进行了一个预测，供大家参考 ????????                                            ", 9月29日 08:00,28,8,10,微博 weibo.com,Fo0GOh8h4,0
44,"
                                                                                                    #象博士说早安# 与其渴望站在太阳下，不如，在黑暗里发光。各位早 ????????                                            ", 9月29日 07:00,4,23,61,微博 weibo.com,Fo0islXNy,0
45,"
                                                                                                    #国庆旅游天气#【“祝福祖国” 天安门国庆花坛这十年】每年“十一”假期，广场的花坛景观都吸引着五湖四海的游客。上世纪80年代，天安门广场开始有了成规模的国庆花坛布置。1981年国庆节，北京市花木公司工人将天安门广场、毛主席纪念堂及正阳门两侧的10个原有花坛全部更新，并特意在人民英雄纪念碑的 ????????...展开全文c                                            ", 9月28日 23:32,12,7,57,微博 weibo.com,FnXmC7flk,0
46,"
                                                                                                    北京国庆七天的天气预报，拿走不谢 ????????                                            ", 9月28日 19:40,7,18,34,iPhone 6s Plus,FnVQBdGJI,0
47,"
                                                                                                    #北京入秋#【9月23日北京正式入秋！这都是连日冷空气的功劳 】近几日，想必北京市民推开窗都能感受到秋凉之意。9月28日，北京市气候中心称，根据天气预报和中华人民共和国气象行业标准《气候季节划分》分析，9月23日已经入秋，长达139天的最长夏天终于可以画上休止符。26日，随着东移高空槽和冷空 ????????...展开全文c                                            ", 9月28日 18:33,9,11,20,Weico.Android,FnVpAnaes,0
48,"
                                                                                                    #气候变化#【南极洲海冰面积创新低：运输业风险逐渐升高】据“中央社”报道，科学家表示，南极洲今年海冰面积创下新低，并警告难以预测的自然变化对观光旅游等运输业构成的风险逐渐升高。??据报道，来自世界各地的科学家本周聚集在澳大利亚塔斯马尼亚省首府荷巴特，讨论海冰面积波动与改良过的导航与 ????????...展开全文c                                            ", 9月28日 18:30,2,1,8,微博 weibo.com,FnVo22aMA,0
49,"
                                                                                                    生活中，处处都可以发现美！比如，你抬头仰望，便会看到一个爱心。南京，一座充满爱意之城。臧首成拍摄，拍摄地，南京市政府门前。#随手拍秋景# ????????                                            ", 9月28日 17:54,10,4,66,iPhone 6s Plus,FnV9vqc81,0
50,"
                                                                                                    #气候变化#【中俄海洋与气候联合研究中心成立】9月21日，中国国家海洋局第一海洋研究所—俄罗斯太平洋海洋研究所海洋与气候联合研究中心（以下简称“中俄海洋与气候联合研究中心”）在俄罗斯符拉迪沃斯托克挂牌成立。该中心是中俄两国在科技创新合作不断加深背景下成立的第一个海洋科学研究领域的合作 ????????...展开全文c                                            ", 9月28日 17:30,2,2,9,微博 weibo.com,FnUZG4MUC,0
51,"
                                                                                                    #国庆旅游天气#【告诉我 你患上了假前综合征了吗？】中秋、国庆双节就要到了，一些上班族和学生族虽然还身在岗位或课堂，但心里早已是蠢蠢欲动，有些人还出现了焦虑、烦躁等症状，会出现这种情况很可能是因为患上了“假前综合征”。那么，什么是“假前综合征”？患上“假前综合征”该怎么办呢？ ????????...展开全文c                                            ", 9月28日 16:44,10,24,18,微博 weibo.com,FnUH57c7Z,0
52,"
                                                                                                    据英国《每日电讯报》网站报道，来自俄罗斯和加拿大科学家最近研究发现，一批在国际空间站生活半年的航天员，免疫系统发生了令人担忧的变化，甚至连普通的感冒都很难抵御。#空间天气# °航天员在太空连感冒都抵御不了？ ????????                                            ", 9月28日 16:20,17,6,18,微博 weibo.com,FnUxAsbhR,0
53,"
                                                                                                    #秋雨送凉#【交警冒雨托光缆两个半小时 市民为其熬煮姜汤驱寒】9月25日，安徽阜阳，一路段光缆断落阻路，为保证交通顺畅，交警冒雨托举光缆两个半小时。附近商铺店主看到后，主动为交警熬姜汤驱寒，现场交警说“心里暖暖的。”@新京报我们视频 L新京报我们视频的秒拍视频 ?????? ????????                                            ", 9月28日 15:53,转发,6,26,Weico.Android,FnUmuyN05,0
54,"
                                                                                                    #秋赏红叶#【京城红叶季将至：八达岭红叶已开始变色】又到红叶季。昨天，第十一届长城红叶生态文化节在北京八达岭国家森林公园开幕。文化节将持续到10月31日，随后公园将进入森林防火期。由于公园海拔较高，年均气温比市区低3-5℃，秋季红叶期比市区提前半个月。近日，景区已观察到红叶变色情况 ????????...展开全文c                                            ", 9月28日 15:00,5,6,16,微博 weibo.com,FnU0N8OVC,0
55,"
                                                                                                    来北京感受#秋高气爽#                                             ", 9月28日 14:35,转发,5,49,微博 weibo.com,FnTQRomr4,0
56,"
                                                                                                    【大雨引发积水 “水中开庭”引关注】积水已经漫过桌腿，身穿法官袍的审判员依然在工作中。近日，一张法院“水中开庭”的照片引发关注。据了解，照片拍摄于9月25日上午，拍摄地点为南京市栖霞区法院栖霞法庭。25日当天，法庭外的红枫街正在施工，排水设施还未完工，导致道路积水倒灌至法庭。考 ????????...展开全文c                                            ", 9月28日 14:29,2,6,14,微博 weibo.com,FnTOreaGL,0
57,"
                                                                                                    #气候变化#【消失的“骆驼城”】从甘肃省高台县向西驱车20公里，从一条没有车道的土路，开向荒野深处，就能看见一块石碑，写着“骆驼城遗址”。再前行一小段路，就能看见断断续续的夯土城墙，这便是骆驼城。它是汉代的表是县，前凉时改置建康郡，后成为北凉政权的发祥地。这里曾经人丁兴旺、草木繁 ????????...展开全文c                                            ", 9月28日 14:16,7,4,16,微博 weibo.com,FnTJ7uIzy,0
58,"
                                                                                                    #气象中国#【国务院安委会第二十一督查组向西藏反馈督查意见】9月12日至25日，督查组采取听取汇报、查阅资料、现场核查等方式，对拉萨市、昌都市、山南市、日喀则市，墨竹工卡县、八宿县等11个县（区）以及33家企业和单位进行了督查，按相关要求对西藏自治区安全生产大检查工作进行了初步考核。 ????????...展开全文c                                            ", 9月28日 13:59,2,评论,6,微博 weibo.com,FnTC28KAi,0
59,"
                                                                                                    #气象中国#【第25次全球气候观测系统指导委员会会议在杭州召开】9月25日，全球气候观测系统（GCOS）科学日研讨会和第25次GCOS指导委员会会议在浙江杭州召开。世界气象组织基本系统委员会（CBS）副主席、中国气象局副局长矫梅燕出席会议。O网页链接 ????????                                            ", 9月28日 11:35,2,1,14,微博 weibo.com,FnSFAa63K,0
60,"
                                                                                                    #秋收秋种#【瑞安金川的有机水稻熟了】近日，瑞安市金川的有机水稻熟了，阳光下金灿灿的稻谷与民居相映，分外美丽。（浙江在线拍友 陈绍华 摄） ????????                                            ", 9月28日 11:23,3,4,16,微博 weibo.com,FnSAIdhmA,0
61,"
                                                                                                    #秋收秋种#【红色海洋！戈壁水土养育八坝村辣椒 】每年9月至10月，在甘肃省高台县合黎镇八坝村的戈壁沙地上，都能看到连绵成片正在晾晒的辣椒，远远望去，像一片红色的花海。八坝村是个传统的辣椒种植村。村里老人回忆，打他们记事起村里就在种辣椒。详情：O网页链接 ????????                                            ", 9月28日 11:19,5,3,19,微博 weibo.com,FnSzctUUF,0
62,"
                                                                                                    快过节了！就想问一下尼萌有什么愿望，兴许象博士能帮忙实现呢#气象粉丝上线# ????????                                            ", 9月28日 10:46,13,192,46,微博 weibo.com,FnSlO9FoE,0
63,"
                                                                                                    新疆哈巴河县：金秋树木、雪山交相辉映美如画 #秋高气爽# ????????                                            ", 9月28日 10:17,10,7,39,微博 weibo.com,FnSadxn2s,0
64,"
                                                                                                    【最强#冷空气来袭#！中国“北极”漠河“又”下雪啦！】9月27日，中国最北边陲—黑龙江漠河迎来了秋后的第二场降雪。鹅毛般的雪花纷纷洒洒从天而降，整个漠河小城完全笼罩在白茫茫的雪幕当中，最低温跌至-1℃！居民们纷纷换上了冬装。南方的小伙伴们，感受到降温了么？L中国新闻网的微博视频 ????????                                            ", 9月28日 09:57,51,62,27,微博 weibo.com,FnS285Eoh,0
65,"
                                                                                                    #秋高气爽#【这次冷空气有什么特点？】张涛：目前已经过了“秋分”节气，北方亚欧大陆腹地的冷空气不断堆积，当出现合适的天气系统引导，冷空气就会东移南下影响我国。就这次的冷空气活动而言，中亚北部上空有个较深的高空槽，受高空槽引导，冷空气南下进入新疆地区，并自西向东影响我国中东部。　　 ????????...展开全文c                                            ", 9月28日 09:43,2,8,11,微博 weibo.com,FnRWkcb1P,0
66,"
                                                                                                    #冷空气来袭#【福建高温趋于结束 明天起北方再迎新一轮冷空气 】中央气象台预计，今明两天，我国天气进入休整期，北方的冷空气和南方的降雨影响均趋于减弱。30日起，江淮、黄淮、汉水流域、四川盆地中部将迎来新一轮较强降雨。预报显示，今天白天到夜间，福建东部将出现明显降雨，雨水和冷空气的合 ????????...展开全文c                                            ", 9月28日 09:39,12,22,17,微博 weibo.com,FnRUDhs4b,0
67,"
                                                                                                    #秋高气爽# 【秋季要预防哪些气象病？】还有气象病这种病？没错，这一换季啊，有时候就会不舒服，戳图看看，防着点 ????????                                            ", 9月28日 08:56,22,6,9,微博 weibo.com,FnRDnDtMq,0
68,"
                                                                                                    #秋高气爽#【北方秋凉明显】今天早晨，北方将有更多的城市达到这次降温过程的最低值，同时也将刷新今年下半年来的新低。像是呼和浩特今早最低气温只有1℃，而北京最低温也降到了8℃，均创下了今年下半年来的气温新低。随着冷空气过境，明天开始北方多地气温将出现小幅回升，不过由于后期北方冷 ????????...展开全文c                                            ", 9月28日 08:54,7,17,9,微博 weibo.com,FnRCduGOx,0
69,"
                                                                                                    #秋老虎来了#【江南华南高温渐消】随着冷空气的继续向南推进，今明天江南、华南地区的高温将逐渐结束。以福州为例，昨天的最高气温为38.7℃，今天将降至33℃，明天更是跌至29℃。预计在短暂降温过后，30日开始，副热带高压将再度加强，江南一带暑热再临。如长沙，10月1日当天有望达到35℃， ????????...展开全文c                                            ", 9月28日 08:46,7,18,13,微博 weibo.com,FnRz3BMOg,0
70,"
                                                                                                    #国庆旅游天气#【注意！重庆湖北降雨减弱 国庆前新一轮降雨来袭】今明天陕西、重庆、湖北一带的强降雨将会迅速减弱，南方将以大范围的小到中雨为主。预计从30日开始新一轮强降雨将影响黄淮江淮等地，或对假期出行产生不利影响。雨水短暂休整后，9月30日起至10月2日，四川盆地东部、汉水流域、 ????????...展开全文c                                            ", 9月28日 08:27,6,8,18,微博 weibo.com,FnRrk0wST,0
71,"
                                                                                                    #秋收秋种#【长芦盐区秋扒忙】近日，河北省唐山市海港开发区长芦盐区大清河盐场的秋扒工作全面展开，今年预计产量将达53万吨。长芦盐区是我国重要的海盐生产基地，南起黄骅北到山海关以南，年产海盐300多万吨。新华社记者杨世尧 摄 ????????                                            ", 9月28日 08:09,7,4,22,微博 weibo.com,FnRkgmJvl,0
72,"
                                                                                                    早安转一波                                             ", 9月28日 07:55,5,4,232,Weico.Android,FnReDFok3,0
73,"
                                                                                                    #象博士说早安# 国庆倒计时还有——天了？ ????????                                            ", 9月28日 07:00,4,39,101,微博 weibo.com,FnQRXuBj2,0
74,"
                                                                                                    国庆长假快到了~如果给你一张往返机票，你最想去哪儿？ ???????? #国庆旅游天气# ????????                                            ", 9月27日 23:34,4,104,25,微博 weibo.com,FnNWVanR5,0
75,"
                                                                                                    冷空气将会继续推进????#冷空气来袭#南方“秋老虎”气焰会慢慢萎缩！↓↓↓像是最近“热疯了”的福州，后天气温超不过30℃，可算是要降温了！ ????????                                            ", 9月27日 19:37,11,31,27,Weico.Android,FnMoLm2X6,0
76,"
                                                                                                    南海晚霞 ????#气象粉丝上线# 李阿彬 摄影 ????????                                            ", 9月27日 18:56,2,3,52,Weico.Android,FnM8gmsJF,0
77,"
                                                                                                    #国庆旅游天气#【印尼巴厘岛火山或喷发！有旅游安排的朋友请注意】据印尼国家抗灾署25日消息，印尼巴厘岛的阿贡火山目前进入关键性阶段，喷发可能性很高。受此影响，当地已有逾7万人撤离。建议中国游客近期切勿前往阿贡火山周围进行任何登山活动。转发提醒爱旅游的TA！L央视新闻的秒拍视频 ????????                                            ", 9月27日 18:01,14,10,20,Weico.Android,FnLM7rNrk,0
78,"
                                                                                                    #国庆旅游天气#【假期必备！100个超实用电话号码】国庆长假将至，你是打算宅在家里，还是在外旅游？这100个实用电话号码你或许用得上！手机丢了，解绑支付宝打什么？收到诈骗短信，如何举报？网购出问题，如何投诉？出国旅游遇到人身安全受侵害，怎么求助？…↓转发收藏，有备无患！ ????????                                            ", 9月27日 16:58,36,3,21,Weico.Android,FnLmw6GKa,0
79,"
                                                                                                    羽绒服，有种扑面而来的寒气啊！????#冷空气来袭#                                            ", 9月27日 16:50,13,21,14,Weico.Android,FnLjkrFlc,0
80,"
                                                                                                    #秋高气爽# 【今晚上演“土星合月” 看""指环王""如何邀舞""月姑娘""】天文专家介绍，27日晚，“指环王”驾到“广寒宫”，天宇将上演“土星合月”的天文好戏。届时头戴“草帽”的土星会依附月亮近距离展现“星姿”，邀请“月姑娘”共舞苍穹，公众只需用肉眼即可清晰见到这幕浪漫的天文现象，前半夜适合观测 ????????...展开全文c                                            ", 9月27日 15:38,19,7,30,微博 weibo.com,FnKPNxaG8,0
81,"
                                                                                                    【我自主建造首艘破冰船名叫“雪龙2”】“雪龙2”号，将成为我国自主建造的首艘破冰船的名字。26日，中国极地研究中心相关负责人向科技日报记者透露，当天，该船开始连续建造，根据计划，将于2019年建成，届时将与“雪龙”号破冰船一道，组队助力科考。去年年底，新建极地破冰船在江南造船（集团）举 ????????...展开全文c                                            ", 9月27日 14:52,7,6,19,微博 weibo.com,FnKx6AphA,0
82,"
                                                                                                    #冷空气来袭# 冷空气打哪儿来？为啥一下子就让我们瑟瑟发抖 ????????                                            ", 9月27日 14:20,10,18,24,微博 weibo.com,FnKknDvrC,0
83,"
                                                                                                    美美哒，佩服能拍到银河的人#气象粉丝上线#                                            ", 9月27日 11:04,4,7,12,微博 weibo.com,FnJ2NAc8K,0
84,"
                                                                                                    #大国重器风云四号#看构成，我确实挺“高大上”。但其实，我也很“接地气”。从发射到现在，我一直处于在轨测试期间，也就是不断调试我携带的仪器，确保观测的准确性。不过，我已经迫不及待想试试自己的新技能，盘算着干点儿服务公众的事儿了。 °风四郎的独白：我不怕被刁难 可险中取胜 ????????                                            ", 9月27日 10:53,10,14,25,微博 weibo.com,FnIY49bcZ,0
85,"
                                                                                                    #大国重器风云四号# 去年年底，我——新一代静止气象卫星“风云四号”A 星发射成功，此后我便一直进行在轨测试，截至目前已经工作9个多月了，被大家称作气象卫星界的实力担当。 °风四郎的独白：我有真本事 可驾驭黑科技 ????????                                            ", 9月27日 10:35,6,4,20,微博 weibo.com,FnIQIqUCF,0
