序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
53,"
                                                                                                    火灾逃生自救十二招，大家都来看看，多学习一点总是好的，有条件到[收藏]一下！ ????????                                            ",是,无, 2012-8-16 08:58,15,1,赞,微博 weibo.com,yxo6hAJuc
54,"
                                                                                                    革命烈士#焦裕禄#，1922年8月16日出生，他被调到河南省兰考县担任县委书记期间该县遭受严重的内涝、风沙、盐碱三害，他坚持实事求是、群众路线的领导方法，与深重的自然灾害进行顽强斗争，努力改变兰考面貌。身患肝癌，依旧忍着剧痛，坚持工作，被誉为“党的好干部”、“人民的好公仆”。 ????????                                            ",是,无, 2012-8-16 08:54,转发,评论,赞,微博 weibo.com,yxo4qEg65
55,"
                                                                                                    突然想起：1945年8月15日，东京向美苏投降。2012年8月15日，京东向苏美宣战…… ????????                                            ",是,无, 2012-8-15 10:29,15,10,1,iPhone客户端,yxfgAvMiD
56,"
                                                                                                    #历史上的今天#1962年8月15日12时5分雷锋同志不幸因公早逝，年仅22岁。雷锋同志是中国家喻户晓的全心全意为人民服务的楷模，共产主义战士；他作为一名普通的中国人民解放军战士，在他短暂的一生中却助人无数，“雷锋精神”激励着一代又一代人学习。 ????????                                            ",是,无, 2012-8-15 10:16,32,10,赞,微博 weibo.com,yxfbcDf2I
57,"
                                                                                                    #消防员#告诉你溺水自救的简易方法: 夏天溺水的意外很多, 除了自己注意安全, 也需要一点技能和训练。以下推荐的是""水母漂""及“海龟漂”自救方法， 适合完全不会游泳的人，对于游泳技能一般的大多数人，其实也适用！希望能对大家有所帮助！ ????????                                            ",是,无, 2012-8-15 07:50,231,31,赞,iPhone客户端,yxedX2vTp
58,"
                                                                                                    有爱的人们，早安！~~~ ????????                                            ",是,无, 2012-8-15 07:39,11,7,赞,iPhone客户端,yxe9LB9qf
59,"
                                                                                                    火灾猛如虎，安全重如山！请大家注意消防安全！ ????????                                            ",是,无, 2012-8-14 14:32,6,1,赞,微博 weibo.com,yx7qU8UqB
60,"
                                                                                                    伸个懒腰，睡个午觉，准备迎接下午的工作！~~~ ????????                                            ",是,无, 2012-8-14 12:57,2,2,赞,iPhone客户端,yx6OogZbi
61,"
                                                                                                    大家……上午好！~~~ ????????                                            ",是,无, 2012-8-14 09:59,1,6,赞,iPhone客户端,yx5E3hEdn
62,"
                                                                                                    [推荐]#绿色情人节#为每年的8月14日，其发源于东欧捷克、斯洛伐克等国家，旨在倡导绿色、环保和乐活精神。在不妨害爱意表达的前提下，买包装简单的花束；或者不买花束，买盆栽的玫瑰，这样可以让植物继续生长；如果确实收到了花束，那么别忘记情人节过后把它们制成堆肥。大家一起来过绿色情人节吧！ ????????                                            ",是,无, 2012-8-14 09:01,2,评论,赞,微博 weibo.com,yx5gDxfeT
63,"
                                                                                                    #历史上的今天#2008年8月13日，北京奥运会体操比赛中，中国女体发挥出色，夺得历史上首枚奥运团体金牌[奥运金牌]。因为程菲队长表现出色，所以赛后，中国女体被一些网友赋予了“花木兰体操队”的美誉。 ????????                                            ",是,无, 2012-8-13 09:00,转发,评论,赞,微博 weibo.com,ywVPJhB3r
