序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
31,"
                                                                                                    #办理反馈# @街角顽童 向 @昆明市长 反映黑林铺十四中至团钢最近每天晚上总有渣土车趁着夜色清运渣土问题收悉。现将公安部门对车辆通行时段等管理情况回复如下。见长微博。 ​​​​                                            ", 2014-4-21 15:51,5,4,赞,微博 weibo.com,B0LpaF1g5
32,"
                                                                                                    昆明地铁入城在即 我们将共同鉴证由地铁运营带来的生活变迁。 O网页链接  ​​​​                                            ", 2014-4-21 11:12,1,7,2,百度分享,B0JAaj81Z
33,"
                                                                                                    #便民信息# 儿童预防接种知识宣传。                                            ", 2014-4-21 10:48,1,评论,1,微博 weibo.com,B0JqaBNRk
34,"
                                                                                                    昆明高温或破30℃ 户外活动谨防中暑_新闻_昆明信息港 O网页链接  ​​​​                                            ", 2014-4-21 10:09,5,2,2,百度分享,B0Janpprq
35,"
                                                                                                    #便民提示# 23日-24日，因配合西坝路改扩建工程进行管网改造，昆明通用水务自来水有限公司计划对西华北路与西坝路交叉口开展计划停水10小时，请受影响区域用户做好停水准备。请点击链接了解。 O网页链接  ​​​​                                            ", 2014-4-21 09:08,4,1,赞,百度分享,B0ILCCmup
36,"
                                                                                                    16日下午3点21分，西山区团结街道办棋台社区利者村后山发生森林火灾。火灾发生后，市委副书记、市长李文荣赶赴火场指导扑救工作，森警、消防、公安及当地干部群众等1500多人立即赶到火场展开扑救。 ​​​​                                            ", 2014-4-17 10:35,3,5,赞,微博 weibo.com,B07D1e4KV
37,"
                                                                                                    #办理反馈# @我是小弋 向 @昆明市长 反映每天下班时段东二环下层大树营立交的红绿灯口，都会看见很多人穿梭在车流中间散发名片小广告的问题收悉。现将官渡区政府调查情况回复如下，见长微博。 ​​​​                                            ", 2014-4-16 15:17,2,4,赞,微博 weibo.com,B002V3bhh
38,"
                                                                                                    #办理反馈# @木目青青 向 @昆明市长 反映原云纺商业区后面黄瓜营片区拆迁，被拆迁户己在外流浪接近四年，且至今末能领到一年的延期回迁拆迁补偿费用。之前承诺会在2015年保证回迁到位！请问差欠我们双倍过渡安置费一年何时发放？我们什么时候可以回家？此问题已经西山区政府调查，见长微博。 ​​​​                                            ", 2014-4-16 14:08,8,9,赞,微博 weibo.com,AFX3jslPH
39,"
                                                                                                    #办理反馈# @阿坤许许 向 @昆明市长 反映三市街有小孩拿着玫瑰去抱住路过的情侣的腿，强制要求路过的情侣买玫瑰问题收悉。现将五华区政府调查处理情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-16 13:52,4,6,2,微博 weibo.com,AFWX17YVI
40,"
                                                                                                    #办理反馈# @sandy星11 向 @昆明市长 反映和谐世纪大风车国栋双语幼儿园与物管之间的经济纠纷，导致幼儿园停电已经两个星期了。每天家长们都聚集在幼儿园门口讨要说法，希望政府能帮帮孩子，不要让他们成为事件的最终受害者。 现将五华区政府对该问题调查情况回复如下，见长微博。 ​​​​                                            ", 2014-4-16 13:39,3,1,2,微博 weibo.com,AFWRzFBhy
41,"
                                                                                                    #便民信息# 昆明地铁首期工程票价出炉 试运营后每五分钟一班车。昆明地铁首期工程从北部汽车站到大学城南站票价7元，全程31个站，从任何一站到目的地票价是多少呢？请点击链接从网页图表中了解票价信息。 O网页链接  ​​​​                                            ", 2014-4-16 11:11,2,2,赞,百度分享,AFVToxrIC
