序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
34,"
                                                                                                    【昆明地铁站内监控360度无死角】昆明地铁的视频监控系统，一方面要对人流进行监控，对突发事件做出预警；另一方面要对设备运行状态进行监控，保证实时提供设备的运转状况。根据设计，车站内的监控已实现360度无死角，在控制中心内可以清晰看到站厅、站台内每个乘客的一举一动。据@云南日报 ​​​​                                            ", 2014-4-29 19:00,8,3,4,人民微管家,B203Wsbra
35,"
                                                                                                    云南省高级人民法院对黎泰军同志违纪问题的处理意见                                            ", 2014-4-29 18:37,10,12,6,政府版微博,B1ZUA6vGr
36,"
                                                                                                    【云南味道 普洱米干】普洱的“米干”，类似昆明的卷粉，广东的肠粉，都是现蒸热卖。普洱县城的豆汤米干和花生汤米干远近闻名，是为正宗的素食者和微胖者的上乘食品，吃起来松软可口而鲜甜，享誉东南亚国家，凡到普洱出差或旅游的人，都要品尝一番。据@云南吃喝玩乐汇  ​​​​                                            ", 2014-4-29 18:04,42,16,14,人民微管家,B1ZHdxu41
37,"
                                                                                                    【罗平九龙瀑布】被称为“南国一绝”的九龙瀑布，位于云南东部罗平县城北偏东，由于发源于九龙河而得名，九龙河是罗平的母亲河。九龙瀑布分10级跌落，各级瀑布之间以浅谈或深潭相连。该瀑布被《中国国家地理》“选美中国”活动评选为“中国最美的六大瀑布”第四名。据@逍遥江湖逍遥游 ​​​​                                            ", 2014-4-29 17:00,15,6,4,人民微管家,B1Zhf6Cu2
38,"
                                                                                                    昆明：无可替代的春城！                                            ", 2014-4-29 16:51,51,17,36,360安全浏览器,B1Zdyp2LM
39,"
                                                                                                    【五一将至 网上订票要当心！】五一在网上订购火车票、汽车票、飞机票的人多, 骗子们自然不会放过这个“发财”的机会。常用手段：低价诱惑、高仿官网、二次欺诈。警方提示：亲，切勿贪图便宜，务必通过正规渠道购票，选择第三方平台支付，不随意向个人账户汇款。据@云南警方 ​​​​                                            ", 2014-4-29 16:00,9,评论,1,人民微管家,B1YSSyPB5
40,"
                                                                                                    【“七彩云南”绽放京城】“七彩云南——中国美术作品展”于4月25日在中国美术馆开幕。本次展览共展出200多幅美术佳作，包括我国几代艺术大家的经典名作，各地青年艺术家的创新力作，以及云南本地艺术家的优秀作品，集中反映了新中国60多年来云南题材美术创作取得的辉煌成就。O人民日报海外版  ​​​​                                            ", 2014-4-29 15:00,2,评论,2,人民微管家,B1YuwhXkl
41,"
                                                                                                    【“云南警方”微博再进全国百强】在国家行政学院电子政务研究中心发布的《2013年度中国政务微博客评估报告》中，云南省公安厅官方微博“云南警方”位列第69名，“云南警方”连续2年跻身中国政务微博客前100名先进行列。此外，“平安红河”位列第82名，也顺利进入前100名。O网页链接 ​​​​                                            ", 2014-4-29 14:00,转发,评论,4,人民微管家,B1Y6aBrDV
42,"
                                                                                                                                                ", 2014-4-29 13:12,转发,评论,4,360安全浏览器,B1XMBCiRT
43,"
                                                                                                    【云南省新发职业病几乎全是尘肺病】2013年全省报告新发急慢性职业病5种438例，其中尘肺病424例，占96.8%；职业中毒及其他职业病14例，占3.2%。“尘肺病发生于前五位的地区依次为昭通市、曲靖市、楚雄市、昆明市和玉溪市，占87.5%；集中发生于煤炭和有色金属行业，占86.79%。”O云南省新发职业病 几乎全是尘肺病 ​​​​                                            ", 2014-4-29 13:00,2,评论,2,人民微管家,B1XHOmo7E
44,"
                                                                                                                                                ", 2014-4-29 12:55,73,16,69,360安全浏览器,B1XFSoTOa
45,"
                                                                                                    //@生活新报: 转发微博                                            ", 2014-4-29 12:52,-1,3,3,360安全浏览器,B1XEFkOhn
46,"
                                                                                                    昆明敞篷公交车来了！                                            ", 2014-4-29 12:50,102,52,76,360安全浏览器,B1XDNxBPD
47,"
                                                                                                    【中国教育装备展示会 3D教学让学生“钻”进引擎看个够】昨日，在昆明举办的第66届中国教育装备展示会闭幕，来自全国770多个参展商利用近3400个展位，展示各级各类学校所需的教具、模型、教育软件、教学用图书等等，涵盖从幼儿教育至高等教育的教学、校园管理、后勤等方面。O中国教育装备展示会 3D教学让学生“钻”进引擎... ​​​​                                            ", 2014-4-29 12:00,2,1,1,人民微管家,B1XjsnX4R
