序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
31,"
                                                                                                    吃不够的当兵苦，忘不掉的战友情——老兵在九寨沟抗震救灾一线退伍 ​​​​                                            ", 9月6日 19:20,转发,评论,7,360安全浏览器,FkAjr6Fnk
32,"
                                                                                                    9月5日上午，“情系灾区·就业援助”九寨沟“8.8”地震灾后重建就业援助专场招聘会在县城新区文化艺术中心广场举行。O网页链接 ​​​​                                            ", 9月5日 22:13,转发,评论,1,360安全浏览器,Fks1ikk0F
33,"
                                                                                                    九寨沟震后最大招聘会明日举行 1万多个岗位等你来！明(5)日，四川省人社局、成都市人社局支援九寨沟县灾后重建就业援助专场招聘会将在县文化广场举行，134家企业携479个工种1万多个岗位现场招人。 ​​​​                                            ", 9月4日 19:16,转发,评论,1,360安全浏览器,FkhqUhwbm
34,"
                                                                                                    9月4日，我县依法治县工作专题会议在县政府二楼常务会议室召开，受州委常委、县委书记罗智波委托，县委副书记彭开剑主持会议并作了重要讲话。 O网页链接 ​​​​                                            ", 9月4日 19:15,转发,评论,1,360安全浏览器,FkhqyqLGL
35,"
                                                                                                    等你                                            ", 9月4日 15:21,转发,评论,8,360安全浏览器,FkfTApeoE
36,"
                                                                                                    近日记者在大录乡东北村看到，村子里挖掘机挖、拖拉机运，村民们搬的搬、运的运、抬的抬，一片繁忙的情景，这里的村民们忙着对自家的受损房屋进行拆除和维修加固。O网页链接 ​​​​                                            ", 9月1日 22:34,转发,1,1,360安全浏览器,FjQrUhLuw
37,"
                                                                                                    8月31日至9月1日，省委省政府决策咨询委员会副主任泽巴足率省委省政府决策咨询委员会专家一行深入我县调研指导灾后恢复重建各项工作，他强调，要积极探索世界自然遗产抢救修复、恢复保护、发展提升新模式，积极推进科学重建、绿色重建、人文重建和阳光重建。O网页链接 ​​​​                                            ", 9月1日 22:33,转发,评论,1,360安全浏览器,FjQrAvofa
38,"
                                                                                                    9月1日，在九寨沟县7.0级地震中受损严重的漳扎镇小学215名学生在第三小学复课。在新学期开学典礼上，九寨沟县以“开学第一课”的形式举行“感恩·奋进”主题教育实践活动。 ​​​​                                            ", 9月1日 22:33,转发,评论,4,360安全浏览器,FjQrmiGfx
39,"
                                                                                                    又是一年开学季，由于受九寨沟县7.0级地震影响，九寨沟县各校开学时间推迟。8月31日，全县所有中小学和幼儿园共23所学校全部如期报名，准备开学上课啦！ ​​​​                                            ", 8月31日 21:57,转发,评论,5,360安全浏览器,FjGMoDUT6
40,"
                                                                                                    8月30日下午，按照省委、省政府统一安排，副省长杨兴平在我县主持召开省“8·8”九寨沟地震抗震救灾前方工作组专题会议。他强调，要认真落实省“8·8”九寨沟地震灾后恢复重建委员会第一次会议精神，牢牢抓住灾后重建契机，稳步推进过渡安置，科学系统开展灾后重建。州委常委、县委书记罗智波参加会议。 ​​​​...展开全文c                                            ", 8月31日 21:56,转发,评论,赞,360安全浏览器,FjGLKpzrB
41,"
                                                                                                    8月29日下午,州委常委、县委书记罗智波深入县第三小学校、漳扎镇上四寨村一队地质灾害点,检查指导秋季开学和地质灾害治理等工作。O网页链接 ​​​​                                            ", 8月30日 21:23,转发,评论,2,360安全浏览器,Fjx841jVu
42,"
                                                                                                    8月30日上午，我县召开7.0级地震灾后小微企业座谈会，州委常委、县委书记罗智波主持会议并作重要讲话，他强调，要进一步解放思想，紧紧围绕县委政府的中心工作，做九寨人、说九寨话、办九寨事，为加快建设美丽繁荣和谐新九寨贡献力量。县政协主席葛林冲，县委副书记彭开剑参加座谈会。 ​​​​...展开全文c                                            ", 8月30日 21:23,转发,评论,1,360安全浏览器,Fjx7WAVmN
43,"
                                                                                                    即将迎来开学的日子九寨沟县的孩子们准备好了吗？O网页链接 ​​​​                                            ", 8月30日 21:22,转发,评论,2,360安全浏览器,Fjx7KdgaT
44,"
                                                                                                    转发微博                                            ", 8月29日 19:51,转发,评论,15,360安全浏览器,Fjn6b0eTX
45,"
                                                                                                    受九寨沟县7.0级地震影响，原计划2017年脱贫摘帽的九寨沟县能否如期实现目标？8月29日，九寨沟县举行百日攻坚暨档案规范化管理现场会，吹响脱贫攻坚百日冲刺行动号角，确保2017年摘除“贫困帽”。O网页链接 ​​​​                                            ", 8月29日 19:51,转发,评论,1,360安全浏览器,Fjn66yI0X
46,"
                                                                                                    8月27日晚，州委常委、县委书记、县7.0级地震抗震救灾应急指挥部总指挥长罗智波主持召开灾后恢复重建项目规划专题会议。O网页链接 ​​​​                                            ", 8月28日 22:23,转发,评论,1,360安全浏览器,FjeFhEbpT
47,"
                                                                                                    8月28日，县委副书记、县长陶钢深入漳扎镇和黑河乡检查指导过渡安置工作，慰问受灾群众和基层干部，鼓励广大干部群众要团结一心、攻坚克难，共同打赢抗震救灾这场硬仗。O网页链接 ​​​​                                            ", 8月28日 22:23,转发,评论,赞,360安全浏览器,FjeFc4qfi
48,"
                                                                                                    8月25日，县工质食药局漳扎监管所会同国家轻工业食品质量监督检测成都站技术人员，对漳扎镇2个集中供餐点（牙扎村供餐点和漳扎三队供餐点）的食品原料进行了监督抽样，共抽样5个批次。 ​​​​                                            ", 8月27日 20:39,转发,评论,赞,360安全浏览器,Fj4yAwrq1
49,"
                                                                                                    8月26日晚，州委书记刘作明在九寨沟县主持召开九寨沟县7.0级地震州、县抗震救灾指挥部第二次联席会议，贯彻落实省委王东明书记在省指挥部第五次会议上的重要讲话精神，研究部署下一步灾后恢复重建工作。O网页链接 ​​​​                                            ", 8月27日 20:38,转发,评论,赞,360安全浏览器,Fj4yix9pX
50,"
                                                                                                    8月25日，九寨沟县永和乡灾后招聘会在永和乡乡政府举行。30余家用人单位提供1000余个岗位，32人与用人单位当场达成就业意向。O网页链接 ​​​​                                            ", 8月26日 19:17,转发,评论,1,360安全浏览器,FiUAKFyXX
51,"
                                                                                                    九寨沟县：部分受灾村民搬离帐篷返家居住O网页链接 ​​​​                                            ", 8月26日 19:16,转发,评论,1,360安全浏览器,FiUAqBVYD
52,"
                                                                                                    9月1日，九寨沟县地震灾区学校能不能如期开学？驻点记者实地探访O网页链接 ​​​​                                            ", 8月25日 18:54,转发,评论,1,360安全浏览器,FiL1fmypM
53,"
                                                                                                    西政校友会等为九寨脆红李找销路，赢得群众齐点赞！O网页链接 ​​​​                                            ", 8月25日 18:54,转发,评论,2,360安全浏览器,FiL179KDo
54,"
                                                                                                    8月23日晚，县7.0级地震抗震救灾指挥部第十七次会议在县政府常务会议室召开，听取各小组工作开展情况，对当前各项工作进行再研究再部署再明确。州委常委、县委书记、县7.0级地震抗震救灾应急指挥部总指挥长罗智波主持会议并作重要讲话。O网页链接 ​​​​                                            ", 8月24日 21:53,转发,评论,赞,360安全浏览器,FiCLfyWP3
