序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
30,"
                                                                                                    【 一份急需掌握的踩踏应急自救要点】#消防知识#  当地时间29日上午10点30，印度孟买一火车站天桥发生踩踏事件，至少22人死亡，30多人受伤。面对踩踏，我们应当怎么应对呢？戳图这些该了解↓↓↓切记一定要保持冷静！ ​转发！ ​​​​                                            ", 9月30日 08:46,12,1,2,专业版微博,FoapZry8J
31,"
                                                                                                    做最好的自己，被最好的人爱。早安 ​​​​                                            ", 9月30日 07:27,转发,1,11,iPhone 7,Fo9U59M7f
32,"
                                                                                                    不期待突如其来的好运，只愿付出的努力终有回报。愿每个认真努力的现在，会有一个水到渠成的未来。 ​晚安 ​ ​​​ ​​​​                                            ", 9月29日 22:30,转发,3,10,iPad客户端,Fo6o8wO84
33,"
                                                                                                    【反复科普：高层建筑火灾逃生警示教育 请耐心看完】#消防知识# 火，既带来温暖、文明、便利，又可能造成灾祸、死亡、悲剧。火灾看似是小概率事件，看似与自己无关，但它却实实在在发生于我们身边。消防安全事关每个人，千万不要将您对消防知识的第一次关注、学习留到真正遇到火灾的时候。 ​​​​...展开全文c                                            ", 9月29日 19:23,22,1,3,iPhone 7,Fo5afqSS2
34,"
                                                                                                    【迎接十九大消防专项行动 |  @南充市公安消防支队 夜查重点单位，筑牢国庆消防安全“防火墙”】#迎接十九大忠诚保平安# 为切实保障国庆期间辖区消防安全，确保全市消防安全形势高度稳定。近日，南充消防支队防火处深入辖区重点单位开展消防安全大检查。检查过程中，检查组要求各单位负责人一定 ​​​​...展开全文c                                            ", 9月29日 16:30,3,评论,3,微博 weibo.com,Fo41OE6vi
35,"
                                                                                                    【高层建筑消防治理系列报道 | 震惊！东华大厦着火了，原来.......】为提高居民消防安全意识及消防自救能力，提升部队官兵处置高层建筑火灾事故的实战能力，9月27日，南充消防支队顺庆大中队联合市电力，医疗、微型消防站、重点单位、物业管理公司等部门在顺庆区东华大厦开展高层建筑灭火救援实战演练 ​​​​...展开全文c                                            ", 9月29日 15:30,2,1,3,微博 weibo.com,Fo3DsFWVX
36,"
                                                                                                    【夏防系列报道 | 西充大队消防安全检查进驾校，握紧消防安全“方向盘”】9月28日，西充消防大队监督员来到辖区驾驶考试中心开展消防安全检查。大队监督检查员首先听取了驾校负责人关于消防安全工作情况的汇报，询问了应急预案制定和落实情况。随后，实地检查了考试中心、住宿中心、办公用楼的安全出口 ​​​​...展开全文c                                            ", 9月29日 14:36,3,1,3,微博 weibo.com,Fo3hy44HB
37,"
                                                                                                    人民群众是战胜灾难的真正英雄                                            ", 9月29日 13:50,2,1,4,iPhone 7,Fo2Z4nDyX
38,"
                                                                                                    【高层建筑消防治理系列报道 | 高层发生火灾 该如何正确逃生？】如今，写字楼、酒店、商场等公共高层建筑越来越多，一旦发生火灾危险性大。当我们进入到公共高层建筑时，应该注意些什么呢？发生火灾后，如何逃生？需要注意的是：千万不能乘坐电梯；尽量保持沉着冷静；湿毛巾捂口鼻，低姿态前进。 ​​​​...展开全文c                                            ", 9月29日 13:49,9,1,5,iPhone 7,Fo2YvdDxU
39,"
                                                                                                    【预防火灾，需要从知道到做到】#消防知识# 十一黄金周8天豪华假期即将开启，蜀黍跟大家分享一则消防公益广告，一起看动漫学消防知识。不堵塞消防通道、不在楼梯间为电瓶车充电，不随意穿越火场……一些生活常见的安全隐患，既要看到，也要做到，当火灾真正来临时，这些被忽视的安全隐患都会酿成 ​​​​...展开全文c                                            ", 9月29日 13:47,26,2,4,iPhone 7,Fo2XT8GND
40,"
                                                                                                    【高层建筑消防治理系列报道 | @四川德阳消防 组织开展高层建筑火灾扑救实战拉动演习】#高层建筑综合治理#  9月26日，德阳消防举行高层建筑火灾扑救供水演练，旨在尝试多种高层建筑灭火供水方式和多种途径救人，提高消防指战员的火场指挥能力和官兵们的灭火救援实战能力，切实解决高层建筑发生火 ​​​​...展开全文c                                            ", 9月29日 13:00,4,评论,4,微博 weibo.com,Fo2EA5SzO
41,"
                                                                                                    【夏防系列报道 | “消防进军训”，广安千余名新生参加消防应急演练】#消防知识#  为增强大学新生消防安全意识和火灾自防自救能力。近日，广安消防以新生军训为契机走进广安职业技术学院，为该校4000余名大一新生集中开展消防安全知识教育，着力提升广大师生对消防的认知度和关注度。 ​​​​...展开全文c                                            ", 9月29日 12:00,转发,评论,3,微博 weibo.com,Fo2gduvIr
42,"
                                                                                                    【迎接十九大消防专项行动 | 乐山各地开展节前消防安全大检查】#迎接十九大忠诚保平安# 很快，8天豪华大假即将来临，为给群众营造良好的消防安全环境，@乐山消防 的蜀黍们已经忙开了。近日，连续深入景区和公共场所检查消防设施，剿灭火灾隐患。 ​​​​                                            ", 9月29日 11:00,2,评论,1,微博 weibo.com,Fo1RSd4ND
43,"
                                                                                                    【面包车追尾货车1人被困，警民合力成功营救】 9月28日中午11时许，位于自贡市S305省道荣县往自贡方向（双石镇交警中队对面）发生一起车祸，一辆银灰色面包车与一辆蓝色货车发生追尾，事故造成面包车司机被困驾驶室。当地消防部门接警后迅速出动，并联合现场交警、医护人员和附近群众成功将伤者救出。 ​​​​...展开全文c                                            ", 9月29日 10:30,3,评论,4,微博 weibo.com,Fo1FGxsjc
44,"
                                                                                                    【峨边惊现“火神克星”!10辆消防摩托车帅气“上岗”】峨边彝族自治县地处边远山区，且山高坡陡，交通困难，消防基础设施薄弱，是基层消防面临的一大难题。9月22日，峨边县政府为辖区重点乡镇配置了首批10辆消防摩托车，分别发放到沙坪镇、黑竹沟镇、毛坪镇等10个乡镇，“新战友”的到来，使该县 ​​​​...展开全文c                                            ", 9月29日 10:00,4,评论,2,微博 weibo.com,Fo1twbbb5
45,"
                                                                                                    【兵哥哥吃西瓜的速度666！】中国军人简直无所不能！给最可爱的人点赞​​​​ PS：求图4兵哥哥心里阴影面积，有一种忧桑叫还没开始就已结束 ​​​​                                            ", 9月29日 09:30,13,16,113,微博 weibo.com,Fo1hlwrJR
46,"
                                                                                                    【8岁女童命悬5楼窗外，托举哥单腿苦撑五分钟】27日，河北邯郸一8岁女童被卡在防盗窗上，命悬一线。邻居见状，从自家爬出窗外，用一条腿托住女童，这个动作保持了5分钟之久。28日，当地消防队接受采访称，女童家人报警后，消防员迅速赶到现场将女童救下，“托举哥”这才返回屋内。 ​​​​...展开全文c                                            ", 9月29日 09:00,4,评论,2,微博 weibo.com,Fo15af71h
47,"
                                                                                                    一百座城市，从日出到日落，浓缩成148秒的最美中国！看到自己的家乡了吗？来打卡吧！LV电影的秒拍视频 ​​​​                                            ", 9月29日 08:30,5,评论,2,微博 weibo.com,Fo0SZhPCq
48,"
                                                                                                    与其担心别人做得比你好，不如关注自己怎样才能够一天天做得更好。早安 ​​​​                                            ", 9月29日 07:30,2,2,8,微博 weibo.com,Fo0uDkAag
49,"
                                                                                                    幸福就像岩层里渗出的清泉，不引人注目，却甘冽爽口。晚安 ​​​​                                            ", 9月28日 22:30,1,5,5,微博 weibo.com,FnWXrB3mz
50,"
                                                                                                    【延时摄影：西藏醉美星夜】夜空中，繁星如钻石晶莹剔透，璀璨银河悬挂天际，流星雨如利剑划破天空……戳视频↓↓共赏西藏星夜L央视新闻的秒拍视频 ​​​​                                            ", 9月28日 21:57,3,1,3,专业版微博,FnWKq3AtG
51,"
                                                                                                    咦~~吓尿了可还行                                            ", 9月28日 21:37,3,1,22,微博 weibo.com,FnWCibXlP
52,"
                                                                                                    【预防火灾，需要从知道到做起】十一黄金周8天豪华假期即将开启，蜀黍跟大家分享一则消防公益广告，一起看动漫学消防知识。不堵塞消防通道、不在楼梯间为电瓶车充电，不随意穿越火场……一些生活常见的安全隐患，既要看到，也要做到，当火灾真正来临时，这些被忽视的安全隐患都会酿成大灾难。 ​​​​...展开全文c                                            ", 9月28日 17:40,13,评论,3,微博 weibo.com,FnV3TBBkw
53,"
                                                                                                    【高层建筑消防治理系列报道 | 百米高楼30秒烧到顶！它是主因】#高层建筑综合治理#  曾有实表明一座30层、高约100米的建筑，在无阻挡的情况下，烟气沿着竖向管道到顶层，只需30秒！为啥高楼着火会蔓延的这么快呢？正是因为“烟囱效应”。“烟囱效应”是指户内空气沿着有垂直坡度的空间上升或 ​​​​...展开全文c                                            ", 9月28日 17:32,12,评论,3,微博 weibo.com,FnV0DqObb
54,"
                                                                                                    【高层建筑消防治理系列报道 | 宜宾人都惊呆了！广电中心大楼突然大火熊熊.......】#迎接十九大忠诚保平安# 为扎实开展高层建筑消防安全综合治理，进一步提升公安消防部队高层建筑灭火救援和多警种、多部门应急联动反应能力，全力确保“十九大”消防安全保卫取得成功，9月27日上午，宜宾市高层建筑灭火 ​​​​...展开全文c                                            ", 9月28日 17:05,6,评论,6,微博 weibo.com,FnUPwFHXj
55,"
                                                                                                    【夏防系列报道 | 九寨消防大队深入辖区易燃易爆场所开展消防安全大检查】 为坚决预防和遏制重特大火灾事故发生，做好“十九大”消防安全保卫工作，9月27日，九寨大队深入辖区易燃易爆场所开展消防安全大检查。 检查中，大队监督检查人员重点检查了各易燃易爆场所的消防安全责任制度、消防安全管 ​​​​...展开全文c                                            ", 9月28日 16:40,2,评论,3,微博 weibo.com,FnUFnzTZG
56,"
                                                                                                    【预防电动车火灾，正确充电是关键】#消防知识 # 电动车作为一种便捷的代步工具，已经成为很多人生活中不可或缺的一部分。上下班、接送孩子、勤劳的快递员小哥等等，电动车功不可没，可它们也是消防安全的一大隐患。@武汉消防 L武汉消防的秒拍视频 ​​​​                                            ", 9月28日 16:24,22,2,5,专业版微博,FnUzbq0YP
57,"
                                                                                                    【高层建筑消防治理系列报道 | 广安召开全市高层建筑消防安全综合治理推进会】#高层建筑综合治理#  9月26日，广安市政府组织召开全市高层建筑消防安全综合治理推进会,部署落实中、省、市关于高层建筑消防安全综合治理工作。市级各相关单位负责人均出席此次会议。会议要求，各地各部门要认真落实 ​​​​...展开全文c                                            ", 9月28日 16:22,4,1,4,专业版微博,FnUyboGxY
