序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
26,"
                                                                                                    【本市今天无新增人感染H7N9禽流感病例，1例病例死亡】#最新#市卫生计生委今天17时通报，本市今天没有新增人感染H7N9禽流感确诊病例。4月17日确诊的患者陈某经全力抢救无效，于今天上午死亡。目前，本市累计确诊人感染H7N9禽流感病例33例，其中9例正在积极治疗中，11名患者已康复出院，13例死亡。 ????????                                            ", 2013-4-29 17:09,186,101,14,专业版微博,zupgktx1J
27,"
                                                                                                    【今天你看到公交彩车了吗？】#交通资讯#20路、23路、939路今起都将出现公交彩车啦不同于普通的""巴士绿""，TA们""红袍加身""，配上LED灯，白天晚上都格外显眼。这是公交彩车近20年来首度回归，增添节日气氛，更是一道别样的风景哦。到南京路、陆家嘴等游玩，说不定就能TA们啦图via新民网 ????????                                            ", 2013-4-29 16:33,182,55,17,专业版微博,zup1CjZgS
28,"
                                                                                                    【血糯米雪糕】#上海滋味#曾经难觅踪影的血糯米雪糕重出江湖了！有多少筒子迫不及待想咬上一口了？蛮大的块头，啊呜一口咬下去，浓浓的奶香弥漫在整个口腔，嚼一嚼，又品出了血糯米的清香。不像棒冰那么冰，却能同时解了夏日的暑气和那股子想吃甜食的馋劲，是否也是你童年回忆里无法割舍的牵挂？ ????????                                            ", 2013-4-29 15:30,2223,331,74,专业版微博,zuoC48AvR
29,"
                                                                                                    【体坛业余高手们，市民体育大联赛喊你来参加！】#爱体育#你是体育爱好者吗？来参加市民体育大联赛吧！@965365上海体育发布 说，上专题网页就能轻松查询赛事信息，还能直接网上报名参赛！足球、排球、乒乓、羽毛球、网球、龙舟等各项比赛已开始接受报名，你还不赶紧加入！详情O2014市民体育大联赛 ????????                                            ", 2013-4-29 15:01,66,19,9,专业版微博,zuoqf335N
30,"
                                                                                                    【上海同步布拉格直播柏林爱乐欧洲音乐会】#文化资讯#一年一度的""柏林爱乐欧洲音乐会""今年将在欧洲名城布拉格举行。北京时间今天17时起，上海观众可以通过@艺术人文频道、经典音乐FM94.7同步欣赏这场音乐盛会。4.29、30的17:00-19:00，还将推出由德国指挥大师蒂勒曼和西蒙??拉特执棒的2013年新年音乐会 ????????                                            ", 2013-4-29 14:29,615,26,9,专业版微博,zuodr2yBc
31,"
                                                                                                    【上海大厦：曾经饱览浦江美景的最佳地点】#上海记忆#这幢在外白渡桥比邻的大厦说它是上海地标并不为过。现在观赏浦江风景有很多选择，然而半个世纪前，许多政界要人，中外名人都是在上海大厦的阳台上俯瞰浦江的。你知道1951年改名前上海大厦为何叫百老汇大厦吗？答案视频里找哦O网页链接 ????????                                            ", 2013-4-29 13:55,199,40,18,专业版微博,zunZzr8u2
32,"
                                                                                                    【去草莓音乐节 庆祝春假到来】#午间时光#@摩登天空 再次联手上海SMG@新娱乐，打造""2013新娱乐上海草莓音乐节""将于五一小长假在上海世博公园如约回归！草莓、星球、阿卡贝拉校园舞台五大经典设置，Travis、张悬、王菀之、黄义达等近100组艺人的强大阵容，春天的草莓派对即将开幕！O网页链接 ????????                                            ", 2013-4-29 12:54,255,61,8,专业版微博,zunAZjXIv
33,"
                                                                                                    【黄浦区“五一”促销很精彩！】#便民提示#小长假，有没有血拼的打算啊？@上海黄浦 “五一”商业促销蛮给力哦！南京路、淮海路、外滩、豫园等地区的20多家企业都推出打折活动~~新世界200元换500点；巴黎春天满188减100元；置地满99减60元，比比哪家更划算！具体信息详见长微博 ????????                                            ", 2013-4-29 12:08,214,52,16,专业版微博,zuni2pcAn
34,"
                                                                                                    【明起邀你免费看金山国际沙排赛[阳光]】#爱体育# 2013国际沙排世界巡回赛上海大满贯赛4月30日-5月5日在金山城市沙滩举行，全程免费观赛[花心]@965365上海体育发布 说，从市区前往观赛，可搭乘金山铁路，从上海南站坐到金山卫站下，换金山2路就能直达赛场。戳大图收藏比赛赛程，假期一起去观赛[放假啦] ????????                                            ", 2013-4-29 11:38,235,50,11,专业版微博,zun5S4Azy
35,"
                                                                                                    【目前市内快速路和部分高速公路多处拥堵】#交通资讯#现在城市快速路,特别是出城方向很堵。@乐行上海 说,延安、南北高架，内环、中环均有长段黄色拥挤和红色堵点。@路线-途 说，至10时，本市高速公路拥堵有:S20内圈、G2、G50往江苏、G40往崇明、G60往浙江、S4往金山、S5往嘉定。大家不要着急，小心驾驶 ????????                                            ", 2013-4-29 11:16,95,27,12,专业版微博,zumXchSow
36,"
                                                                                                    【配合中环线施工，浦东公交配套调整方案5月8日起实施】#交通资讯#中环线浦东段施工拟于5月中旬启动金桥立交拆除的相关准备工作，届时将封闭金桥路方向、保留杨高中路主流向交通，其他各向交通通过路网绕行分流。@浦东发布 说，浦东公交将有18条线路作相应调整，5月8日起施行，沿线的乘客要留意咯。 ????????                                            ", 2013-4-29 10:29,291,35,7,专业版微博,zumDN0fRI
