序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
33,"
                                                                                                    【10月7日、8日 成都地铁2号线10号线将延时运营至凌晨】#连线市州#明天就放大假了！为满足节日期间客流需求，@成都地铁 在10月1、2日及10月7、8日将增加上线备用车；在10月7日、8日，地铁2号线在原末班车基础上顺延30分钟运营时间，10号线在原末班车基础上顺延60分钟运营时间。你今天出发了吗？ ​​​​                                            ", 9月30日 11:00,2,2,14,微博 weibo.com,FobimnKeC
34,"
                                                                                                    【花生占据“坚果排行榜”榜首，它才是性价比最高的长寿果】#四川服务#美国国立卫生研究院一项新研究发现，日常饮食中加入适量花生，有助于防止动脉硬化，有效降低心脏病和脑卒中的风险。（生命时报） ​​​​                                            ", 9月30日 10:33,7,3,7,微博 weibo.com,Fob7Ged6a
35,"
                                                                                                    【明天就放假了！这个小长假你要掏份子钱吗？】#川叔身边事#近日有媒体报道，25岁的小肖国庆8天要参加6场婚礼，共随4400元……国庆大假降至，婚礼请帖也早已接踵而至。这个小长假，你们要掏份子钱吗？有超过一场的吗？ ​​​​                                            ", 9月30日 10:31,4,22,17,微博 weibo.com,Fob6BoIVN
36,"
                                                                                                    【地理国情普查首次公布！看看这还是你熟悉的四川吗？】#四川要闻# 四川省政府新闻办29日举行新闻发布会，首次发布地理国情普查公报。这次普查查清了四川各类地形地貌的面积构成和空间分布，绘制了首张地理国情图，有利于促进相关部门科学合理保护和利用自然，在防灾减灾、大熊猫国家公园体制试点、河 ​​​​...展开全文c                                            ", 9月30日 10:20,10,5,8,微博 weibo.com,Fob28ilMO
37,"
                                                                                                    【15条快速路出城线路！成都交警发布假期出行“避堵妙招”】#四川交通# 国庆、中秋假期将至，高速公路将继续施行小型客车免费通行政策，车辆集中出行，交通压力激增。预计9月30日下午及晚间、10月1日上午，将迎来自驾游出行车流汇聚的现象；10月7日、8日下午和晚间，将出现返程车流汇聚的状况。为此， ​​​​...展开全文c                                            ", 9月30日 09:40,12,3,7,微博 weibo.com,FoaLTdeGQ
38,"
                                                                                                    【成都荣膺“法治政府建设典范城市”】#天府聚焦# 近日，中国政法大学对外发布的《法治政府蓝皮书：中国法治政府评估报告2017》（以下简称报告），成都与北京、上海、广州、深圳、杭州、南京、合肥、厦门、长沙等城市一起荣获“法治政府建设典范城市”荣誉称号。报告指出，自2013年至今的5年评估中，排 ​​​​...展开全文c                                            ", 9月30日 09:00,12,3,20,微博 weibo.com,FoavF4SHD
39,"
                                                                                                    【成都新经济发展研究院成立仪式暨新经济发展论坛举行】#天府聚焦# 昨日，成都新经济发展研究院成立仪式暨新经济发展论坛在电子科技大学举行。来自全国新经济界的领军人物和电子科大校友师生代表齐聚蓉城，共商新经济发展大计，共谋新动能培育大业。市委副书记、市长罗强，电子科技大学党委书记王亚非 ​​​​...展开全文c                                            ", 9月30日 08:28,7,1,7,微博 weibo.com,FoaiPizhW
40,"
                                                                                                    #四川早安# 今天是一个让一切变得更好的机会，别浪费！ ​​​​                                            ", 9月30日 07:40,4,7,23,微博 weibo.com,Fo9ZbCcJN
41,"
                                                                                                    #四川晚安#推荐一首单曲循环的歌吧晚安。 ​​​​                                            ", 9月29日 23:07,2,21,12,微博 weibo.com,Fo6D7irq3
42,"
                                                                                                    【国庆中秋假期 成都熊猫基地实时客流达4万人次时将停止售票】#四川好玩#国庆到成都看滚滚的小伙伴注意了！今年国庆、中秋节期间，成都熊猫基地将对游客进行限流，当实时游客量达到4万人次时，将暂停门票销售（包括网络售票）。根据往年数据，10月2日至10月5日为接待高峰时间段，大家请合理安排时间。 ​​​​                                            ", 9月29日 22:00,4,7,15,微博 weibo.com,Fo6bLvL6I
