序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
28,"
                                                                                                    【电力之歌】#电力人原创#（国网遂宁供电公司 杨晓芬） ????????                                            ", 9月22日 15:00,转发,评论,赞,微博 weibo.com,FmZrOlMHZ,0
29,"
                                                                                                    “双一流”建设高校（世界一流大学和一流学科）及建设学科名单公布，快来看看有没有你的母校 ????????                                            ", 9月22日 14:30,转发,评论,赞,微博 weibo.com,FmZfDlE8N,0
30,"
                                                                                                    【宜宾：变压器搬家啦~！】9月19日，国网宜宾供电公司配电运检员工，在柏溪黄桷庄电厂福园社区吊装变压器，对电厂家属区实施“三供一业”供电分离移交改造，改善居民生活环境，解决困扰企业多年的社会负担和历史遗留问题。 ????????                                            ", 9月22日 14:00,转发,评论,赞,微博 weibo.com,FmZ3smsbp,0
31,"
                                                                                                    【6种人是口腔溃疡高危者！自查】口腔溃疡是种糟心的痛，最少一星期才能愈合。高危人群：①胃肠不好的人；②月经前的女性；③营养缺乏或贫血的人；④免疫功能紊乱患者；⑤长期疲劳、睡眠差、精神压力大的人；⑥糖尿病、血液病、结核病等慢性病人群。《生命时报》采访专家，教你远离难缠的口腔溃疡↓！????????????...展开全文c                                            ", 9月22日 12:00,转发,评论,赞,微博 weibo.com,FmYgKvcsF,0
32,"
                                                                                                    【重磅！全国首个！成都设立50亿元基金支持音乐产业发展】20日，国内首只、总规模达50亿元的音乐文化产业基金——成都音乐文化产业基金在蓉发起设立。该基金由北京北大青鸟有限责任公司、成都市产业引导股权投资基金有限公司、华夏文冠资产管理有限公司共同发起设立，将推动成都音乐产业加快发展、跨越 ????????...展开全文c                                            ", 9月22日 11:30,转发,评论,赞,微博 weibo.com,FmY4zv3hR,0
33,"
                                                                                                    【“红细胞”志愿服务在行动】“不能为您修屋建房，送点小鸡仔，尽点绵薄之力。”近日，国网资阳市雁江供电公司机关支部党员“红细胞”志愿者将购买的鸡仔送到伍隍镇爆花村13社贫困户的家中。9月19日，国网四川乐至县供电公司“红细胞”志愿者赴该司挂点帮扶村开展脱贫攻坚督导评估工作。 ????????                                            ", 9月22日 11:00,1,评论,1,微博 weibo.com,FmXSovUaA,0
34,"
                                                                                                    【起步早、布局早 中国将影响世界新能源汽车格局】据悉，中国已开始研究制定禁售传统燃油汽车的时间表，新能源车的双积分制也呼之欲出。此外，今年下半年，中国将在新能源汽车等领域进一步放宽外资准入。在全球汽车产业生态重塑之际，新能源汽车正是中国从汽车大国向汽车强国转变的重要机遇。 ????????...展开全文c                                            ", 9月22日 10:30,转发,评论,赞,微博 weibo.com,FmXGdvYXX,0
35,"
                                                                                                    【乐山：有一种温暖，叫“精准扶贫”】 9月19日至20日，国网乐山供电公司扶贫干部前往峨眉山市龙池镇龙门乡、峨山镇冠峨村和吴岗村，了解村落的基本情况、贫困原因等相关问题，开展一对一、点对点、一户一策精准扶贫工作。途中，扶贫人员还向村民宣传党和国家各项支农、强农、惠农、富农政策，引导贫困 ????????...展开全文c                                            ", 9月22日 10:00,转发,评论,1,微博 weibo.com,FmXu2wlbt,0
36,"
                                                                                                    【月饼届又一黑暗料理来了！自贡冷吃兔月饼】近日，自贡当地一家糕点企业自创“冷吃兔辣月饼”，目前有麻辣味和葱香味，饼皮里加入了尖椒和甜椒混合而成的辣椒粉，馅辣皮也辣。糕点师李天奇称，在自贡家家户户都会炒制冷吃兔，“这就是家乡味道，是一种情结”。你想@ 谁来试一下？（@成都发布????????????...展开全文c                                            ", 9月22日 09:30,转发,1,赞,微博 weibo.com,FmXhRzQfd,0
37,"
                                                                                                    【泸州：让乡亲们用好电，是我们最大的心愿】“现在用电好了，啥子电器都用得起电，充电费也方便。用电遇到问题，一个电话过后电工就来了……” 黄荆乡村民陈兴云一个劲地夸赞村里的用电改观。地球同纬度（北纬28度）唯一保存完好的亚热带原始常绿阔叶林区——黄荆乡，是泸州市古蔺县供电公司黄荆供电 ????????...展开全文c                                            ", 9月22日 09:00,转发,评论,1,微博 weibo.com,FmX5GBnCN,0
38,"
                                                                                                    #早安#所有的困难都是好事——这是老天爷在磨练你，目的是把重任交给你。打不死的兵就成了将军！！ ????????                                            ", 9月22日 07:59,转发,评论,赞,微博 weibo.com,FmWHkAsTL,0
39,"
                                                                                                    #晚安#""恰到好处的喜欢最舒服，懂分寸的关系最迷人。"" ????????                                            ", 9月21日 23:00,转发,评论,赞,微博 weibo.com,FmTa8Bbwo,0
